City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
413,Karaton,ID,78.8,-6.34,106.1,thunderstorm with light rain,Parkir Mobil Wisata CAS Water Park
414,Qandala,SO,76.03,11.47,49.87,few clouds,
415,Beloha,MG,73.9,-25.17,45.06,clear sky,
417,Bima,ID,72.16,-8.45,118.73,broken clouds,Lambitu Hotel
421,Kudahuvadhoo,MV,82.2,2.67,72.89,overcast clouds,Kudahuvadhoo Retreat
425,Luderitz,,63.55,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
429,Maningrida,AU,78.26,-12.05,134.23,overcast clouds,"Batchelor Institute Vocational Occupancy Quarters, (VOQ)"
430,Tiarei,PF,84.2,-17.53,-149.33,scattered clouds,Le Rocher de Tahiti
433,Kattivakkam,IN,77.0,13.22,80.32,mist,Sachidanandam
437,San Quintin,PH,67.23,17.54,120.52,scattered clouds,San Quintin River Resort
441,Liwale,TZ,71.85,-9.8,37.92,overcast clouds,Samoma Lodge
442,Moyale,ET,74.89,3.52,39.05,scattered clouds,Machi Guesthouse
443,Dayong,CN,60.8,25.02,118.29,mist,Haiyue Express Hotel
444,Eyl,SO,78.37,7.98,49.82,scattered clouds,Amiin Hotel
445,Maralal,KE,65.41,1.1,36.7,overcast clouds,Ngari Hill Ecolodge
455,Opuwo,,68.99,-18.06,13.84,overcast clouds,ABBA Guesthouse
456,Kirakira,SB,80.55,-10.46,161.92,overcast clouds,Freshwind
463,Colesberg,ZA,71.62,-30.72,25.1,clear sky,Bhelekazi Guesthouse
465,Mahebourg,MU,73.4,-20.41,57.7,heavy intensity rain,Shandrani Beachcomber Resort & Spa
471,Saucillo,MX,67.32,28.03,-105.29,clear sky,Hotel La Posada de San Judas Tadeo
474,Claremore,US,61.0,36.31,-95.62,clear sky,Super 8 by Wyndham Claremore OK
476,Balabac,PH,79.77,7.99,117.06,overcast clouds,Sing and Swing Lodge
478,Praia Da Vitoria,PT,64.4,38.73,-27.07,broken clouds,Hotel Branco I
480,Samarai,PG,79.39,-10.62,150.67,overcast clouds,Nuli Sapi
483,Hambantota,LK,75.2,6.12,81.12,few clouds,Bungalow 63
484,Piacabucu,BR,79.27,-10.41,-36.43,overcast clouds,Piaçabuçu News
486,Tautira,PF,84.2,-17.73,-149.15,scattered clouds,Pension Oaoa
492,Prainha,BR,88.47,-1.8,-53.48,broken clouds,Hotel Teixeira
498,Adeje,NG,77.67,5.68,5.76,overcast clouds,Otomewo Community
503,Santa Rosa,AR,88.9,-36.62,-64.29,broken clouds,Hotel Calfucurá
504,Ishigaki,JP,69.8,24.34,124.16,scattered clouds,Hotel Peace Land Ishigakijima
510,Nome,US,73.99,30.04,-94.42,clear sky,Silver Spur Mobile Home & RV Park
512,Berberati,CF,70.11,4.26,15.79,clear sky,Hôtel palace Georges v
513,Marzuq,YE,63.23,14.4,46.47,clear sky,
517,Teguise,ES,60.8,29.06,-13.56,few clouds,B&B La Casona de Nazaret
520,Meulaboh,ID,80.4,4.14,96.13,clear sky,Kost Pria
521,Mulanje,MW,69.94,-16.03,35.5,overcast clouds,Mulanje Motel
526,Ingham,AU,73.81,-18.65,146.16,few clouds,Lees Hotel
530,Ilhabela,BR,76.41,-23.78,-45.36,broken clouds,Ilha Flat Hotel
531,Ende,ID,81.61,-8.84,121.65,overcast clouds,Dwi Putra Hotel
532,Constitucion,MX,66.99,23.99,-104.67,clear sky,Hotel Posada San Agustin
533,Kahului,US,82.4,20.89,-156.47,few clouds,Maui Seaside Hotel
534,Rocha,UY,78.91,-34.48,-54.34,broken clouds,Beleza Pura B&B
542,Bullhead City,US,64.99,35.15,-114.57,broken clouds,Golden Nugget Laughlin Hotel & Casino
545,Tha Bo,TH,66.2,17.85,102.58,clear sky,บ้านพักริมโขง รีสอร์ท
547,Natal,BR,82.4,-5.81,-35.21,scattered clouds,Monza Palace Hotel
548,Vicksburg,US,66.2,32.35,-90.88,clear sky,La Quinta Inn & Suites by Wyndham Vicksburg
552,Kota Kinabalu,MY,77.0,5.98,116.07,broken clouds,Gaya Centre Hotel
559,Santana,BR,78.8,-0.06,-51.18,broken clouds,Porto Santana
