City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
142,Nioro,GM,2020-01-05 09:29:25,13.79,-15.05,67.37,13,0,14.79,clear sky,0.0,0.0
143,Grand Gaube,MU,2020-01-05 09:29:25,-20.01,57.66,82.0,83,75,6.93,broken clouds,0.0,0.0
144,Hailey,US,2020-01-05 09:29:26,43.52,-114.32,19.4,62,90,6.93,overcast clouds,0.0,0.0
145,Isabela,PH,2020-01-05 09:29:26,10.2,122.99,75.61,81,55,11.21,light rain,0.25,0.0
146,Sao Geraldo Do Araguaia,BR,2020-01-05 09:29:26,-6.4,-48.55,69.49,98,99,2.73,overcast clouds,0.0,0.0
147,Piterka,RU,2020-01-05 09:29:26,50.68,47.44,31.46,96,100,14.0,overcast clouds,0.0,0.0
148,Luganville,VU,2020-01-05 09:29:27,-15.51,167.18,82.4,78,40,11.41,scattered clouds,0.0,0.0
149,Alexandria,RO,2020-01-05 09:29:27,43.97,25.33,38.53,67,27,1.77,scattered clouds,0.0,0.0
150,Zhigansk,RU,2020-01-05 09:29:27,66.77,123.37,-15.9,95,100,11.34,overcast clouds,0.0,0.0
151,Zhanaozen,KZ,2020-01-05 09:29:27,43.35,52.85,31.78,46,99,12.01,overcast clouds,0.0,0.0
152,Sucua,EC,2020-01-05 09:29:27,-2.46,-78.17,61.21,96,15,2.95,few clouds,0.0,0.0
153,Dingle,PH,2020-01-05 09:28:49,11.0,122.67,77.54,87,12,13.18,light rain,0.56,0.0
154,Vestmannaeyjar,IS,2020-01-05 09:29:28,63.44,-20.27,42.37,64,100,31.03,light snow,0.0,0.94
155,Agira,IT,2020-01-05 09:29:28,37.66,14.52,57.2,71,40,2.24,scattered clouds,0.0,0.0
156,Tazovskiy,RU,2020-01-05 09:29:28,67.47,78.7,21.31,89,60,19.86,broken clouds,0.0,0.0
157,Guerrero Negro,MX,2020-01-05 09:20:46,27.97,-114.04,58.55,59,0,3.76,clear sky,0.0,0.0
158,Dunedin,NZ,2020-01-05 09:29:29,-45.87,170.5,54.34,60,0,26.84,clear sky,0.0,0.0
159,Jinxiang,CN,2020-01-05 09:29:29,35.07,116.31,39.6,89,100,9.53,light rain,1.0,0.0
160,Coihaique,CL,2020-01-05 09:20:15,-45.58,-72.07,48.2,76,20,5.82,few clouds,0.0,0.0
161,Batemans Bay,AU,2020-01-05 09:29:30,-35.71,150.18,59.0,76,100,18.01,light rain,0.44,0.0
162,Nanakuli,US,2020-01-05 09:29:30,21.39,-158.15,75.99,78,40,9.17,light rain,0.0,0.0
163,Toamasina,MG,2020-01-05 09:29:30,-18.17,49.38,89.6,59,40,17.22,scattered clouds,0.0,0.0
164,Namwala,ZM,2020-01-05 09:29:30,-15.75,26.45,79.0,68,96,5.14,light rain,0.56,0.0
165,Treinta Y Tres,UY,2020-01-05 09:29:30,-33.23,-54.39,59.56,92,3,5.84,clear sky,0.0,0.0
166,Olinda,AU,2020-01-05 09:29:31,-37.84,145.39,60.01,62,75,12.75,broken clouds,0.0,0.0
